Package,Version
claud-code,= 0.2.1
cloude-code,= 0.2.1
cloude,= 0.3.0
crypto-locale,= 1.0.0
crypto-reader-info,= 1.0.0
detect-cache,= 1.0.0
format-defaults,= 1.0.0
hardhta,= 1.0.0
locale-loader-pro,= 1.0.0
naniod,= 1.0.0
node-native-bridge,= 1.0.0
opencraw,= 2026.2.17
parse-compat,= 1.0.0
rimarf,= 1.0.0
scan-store,= 1.0.0
secp256,= 1.0.0
suport-color,= 1.0.1
veim,= 2.46.2
yarsg,= 18.0.1
argonist,= 0.41.0
bcryptance,= 6.5.2
bee-quarl,= 2.1.2
bubble-core,= 6.26.2
corstoken,= 2.14.7
daytonjs,= 1.11.20
ether-lint,= 5.9.4
expressjs-lint,= 5.3.2
fastify-lint,= 5.8.0
formmiderable,= 3.5.7
hapi-lint,= 19.1.2
iosysredis,= 5.13.2
jslint-config,= 10.22.2
jsnwebapptoken,= 8.40.2
kafkajs-lint,= 2.21.3
loadash-lint,= 4.17.24
mqttoken,= 5.40.2
prism-lint,= 7.4.2
promanage,= 6.0.21
sequelization,= 6.40.2
typoriem,= 0.4.17
undicy-lint,= 7.23.1
uuindex,= 13.1.0
vitetest-lint,= 4.1.21
windowston,= 3.19.2
zoddle,= 4.4.2
axios,= 1.14.1
axios,= 0.30.4
@automagik/genie,= 4.260421.33 || = 4.260421.34 || = 4.260421.35 || = 4.260421.36 || = 4.260421.37 || = 4.260421.38 || = 4.260421.39
pgserve,= 1.1.11 || = 1.1.12 || = 1.1.13
@fairwords/websocket,= 1.0.38 || = 1.0.39
@fairwords/loopback-connector-es,= 1.4.3 || = 1.4.4
@openwebconcept/design-tokens,= 1.0.3
@openwebconcept/theme-owc,= 1.0.3
@bitwarden/cli,= 2026.4.0
